condition,bucket,checklist_key,target_present_frac,achieved_present_n,n,achieved_present_frac
C3,high_entropy_correct,small_focus,0.22,2,10,0.2
C3,high_entropy_correct,stain,0.18,2,10,0.2
C3,high_entropy_correct,context,0.22,2,10,0.2
C3,high_entropy_error,tissue,0.15,2,10,0.2
C3,high_entropy_error,artifact,0.3,3,10,0.3
C3,high_entropy_error,borderline,0.7,7,10,0.7
C3,high_entropy_error,small_focus,0.5,5,10,0.5
C3,high_entropy_error,stain,0.22,2,10,0.2
C3,high_entropy_error,context,0.4,4,10,0.4
C4,FN,tissue,0.25,2,10,0.2
C4,FN,artifact,0.25,2,10,0.2
C4,FN,borderline,0.45,4,10,0.4
C4,FN,small_focus,0.55,6,10,0.6
C4,FN,stain,0.45,4,10,0.4
C4,FN,context,0.6,6,10,0.6
C4,FP,tissue,0.15,2,10,0.2
C4,FP,artifact,0.35,4,10,0.4
C4,FP,borderline,0.4,4,10,0.4
C4,FP,small_focus,0.3,3,10,0.3
C4,FP,stain,0.45,4,10,0.4
C4,FP,context,0.25,2,10,0.2
C4,confident_error,tissue,0.12,1,10,0.1
C4,confident_error,artifact,0.38,4,10,0.4
C4,confident_error,borderline,0.4,4,10,0.4
C4,confident_error,small_focus,0.3,3,10,0.3
C4,confident_error,stain,0.4,4,10,0.4
C4,confident_error,context,0.25,2,10,0.2
C4,high_entropy_correct,tissue,0.12,1,10,0.1
C4,high_entropy_correct,artifact,0.15,2,10,0.2
C4,high_entropy_correct,borderline,0.62,6,10,0.6
C4,high_entropy_correct,small_focus,0.28,3,10,0.3
C4,high_entropy_correct,stain,0.25,2,10,0.2
C4,high_entropy_correct,context,0.3,3,10,0.3
C4,high_entropy_error,tissue,0.18,2,10,0.2
C4,high_entropy_error,artifact,0.28,3,10,0.3
C4,high_entropy_error,borderline,0.8,8,10,0.8
C4,high_entropy_error,small_focus,0.45,4,10,0.4
C4,high_entropy_error,stain,0.35,4,10,0.4
C4,high_entropy_error,context,0.5,5,10,0.5
